facebook_corpus_msr_597252,"
11 stocks that have crashed anywhere between 1660% in 5 months http://ow.ly/1ezsGd
",Non Aggressive,"
- 
"
facebook_corpus_msr_597253,"
It shld be 16-60% not 1660%.... Its impossible for any company too fall such a big %.... If so den every one vl get free shares...... :-P
",Non Aggressive,"
- 
"
facebook_corpus_msr_597254,"
Whattt?
",Non Aggressive,"
- 
"
facebook_corpus_msr_597255,"
may in FNO
",Non Aggressive,"
- 
"
facebook_corpus_msr_597256,"
I HAVE ALREADY REQUESTED CNBC TO FLASH THE PRICE OF SHARES FROM 1.4.11 AND THEN PRESENT STATUS TO KNOW THE HEALTH OF STOCKS ON YOUR CHANNEL FOR THE BENIFIT OF INVESTORS. THE RELIANCE GROUP HAS LOOTED CRORES OF MONEY WHO HAVE INVESTED EARLIER IN RELIANCE. BUT THIS COMPANY IS ALWAYS SHOWING PROFIT IN THEIR RETURN. WHETHER THE PROFIT IS NOT DUE TO REDUCING THE PRICES OF SHARES AND LOOTED MONEY FROM THE INVESTORS.
",Overtly Aggressive,"
General Non-threatening Aggression 
"
facebook_corpus_msr_1155211,"
बाढ़ प्रभावित बिहार में एनडीआरएफ की टीम ने एक बार फिर बोट पर एक गर्भवती महिला की सफलतापूर्वक डिलीवरी कराई.
",Non Aggressive,"
- 
"
facebook_corpus_msr_1155212,"
yeh india hain yeh india hain yeh india hain yeh india hain.
",Non Aggressive,"
- 
"
facebook_corpus_msr_1351206,"
बात आस्था की हे तो चूहे मारने की दवा पर प्रतिबन्ध लगवाओ.. क्यों की चूहा गणेश जी की सवारी हे  बात आस्था की हे तो उन प्रोयगशालो की बन्द करो जिन में बन्दरो पर प्रयोग होते हे... क्यों की बन्दर भगवान हनुमान का प्रतीक  हे...  इन सब से भी किसी की धार्मिक भावना आहत होती यहाँ बात आस्था की नही हे बल्कि इसलिए मुद्दा बनाया गया हे क्यों की कुछ लोग गाय का मांस खाते हे और इस देश में ईसाई, सिख,और कई हिन्दू भी बीफ खाते हे तो बात सिर्फ मुस्लिमो पर क्यों ?? कल जब नेता लोग इस मुद्दे को भूल जायगे तब क्या गाय को इतनी अहमियत नही रहेगी ??  यही सच हे की  तुम लोग गाय में आस्था नही रखते हो एक समुदाय विशेष के खिलाफ अपनी विचारधारा रखते हो सच में तुम्हे गाय में आस्था होती तो गाय आज  सड़को पर, कूड़े दान के पास नही होती...!!
",Overtly Aggressive,"
Communal Aggression 
"
facebook_corpus_msr_1351207,"
Sahi baat. Har chaurahe pr cow ki haalat sabko ni dikhti.
",Non Aggressive,"
- 
"
facebook_corpus_msr_1351208,"
भाई हमको दूसरे देशो को देख क्र नही चलना
",Non Aggressive,"
- 
"
facebook_corpus_msr_1351209,"
Jab pusti ho chuki hai ki gaye ka gost nahi tha to ab kyon apni maa chuda raha hai rss
",Overtly Aggressive,"
Communal Aggression 
"
facebook_corpus_msr_1351210,"
कोन से वेदों में  लिखा शायद आरएसएस के वेदों में लिखा होगा ।  हिंदुओं के  वेदों में  किंही नही लिखा । वेदों मे ये जरूर लिखा है   किसी भी गारीब तंग मत करो मदिरों का   दान पर आपना हक मत जिताइए । जो आज तक आरएसएस करती आ रही है   कभी राम सेना कभी बजरंग सेना के नाम पर पैसें खाती है । आज तक   ये   तो पता लगा नही सके ऐसे NGO को कहा से पैसें आ रहे है
",Overtly Aggressive,"
Communal Aggression 
"
facebook_corpus_msr_1351211,"
Farzi account
",Overtly Aggressive,"
General Non-threatening Aggression 
"
facebook_corpus_msr_1351212,"
Ek dam sahi kahaa
",Non Aggressive,"
- 
"
facebook_corpus_msr_1351213,"
वेदों में ही गाय की बलि दी गई थी ऋषि मुनियों ने रिध्ही सिद्ध के लिए। क्यों इंसान को मारने पर तुले हो। अगर किसी जीव की रक्षा करनी ही हे तो सब बैठकर क्यों विचार नहीं करते।
",Covertly Aggressive,"
Communal Aggression 
"
facebook_corpus_msr_1351214,"
आप जरा मुझको बताना की वेदों मे ऋद्धि सिद्धि के लिये कब गाय की बलि दी गई थी
",Non Aggressive,"
- 
"
facebook_corpus_msr_1351215,"
सतीश आपने वेद पड़े हैं ???
",Covertly Aggressive,"
General Non-threatening Aggression 
"
