1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705044,"""@economictimes: privatisation to negatively impact earnings of sc/sts: mayawati on #railbudget2015"" basa bhagavana ne jabana di hai to kucha bhi bologe|","
Covertly Aggressive
",General Non-threatening Aggression
1278705046,#indvspak beta ab aaram se khelo,"
Covertly Aggressive
",General Non-threatening Aggression
1278705048,hamari sirpha dresa ka kalara hara hai lekina hama pakistana nahi hai - aphrika india defeated sa by 130 runs @akashtv1 @rpbreakingnews #indvssa,"
Non Aggressive
",-
1278705049,"rt @punjabkesari: pulisa ke ala adhikariyom se mile kejarivala, svikara kara sakate haim badha़i hui suraksa - sutra #aapsweep #delhidecides #kejriwal…","
Non Aggressive
",-
1278705050,dilliwalon ko kejriwal ki sarkar mubarak ho :) #delhidecides,"
Covertly Aggressive
",Political Aggression
1278705051,titto ki maa ka *#&amp;* #indvssa #worldcup2015,"
Covertly Aggressive
",Gendered Aggression
1278705053,kal pyaar wala ka din tha aur aaj war wala din hai. #indvspak #cwc15 #celkoncheers4india @celkonmobile,"
Covertly Aggressive
",General Non-threatening Aggression
1278705054,@gurmeetramrahim #blockbustermsg papa ji .ham jarur dyain rakha ga ji.nazara tu hukam ma hota ha.papa pb.par mehar kro ji.,"
Non Aggressive
",-
1278705055,"@sagarcasm uncle ji ko boliye, budget dekhne ko,itna budget nahi hai. :-) #ausvnz #indvsuae #cwc15.","
Covertly Aggressive
",Political Aggression
1278705056,ख़bara hai dhavana lambi pari khelana cahate haim kyomki unako dara hai ki unake auta hote unake sasurala vale unako ghara lejane a jae~ge| #indvssa,"
Non Aggressive
",-
1278705057,"""apa"" ke pasa camda dene valom ki kami nahi hai,kendra se paisa nahim milega to pakistana se paisa a jaega wifi,cctv ke lie. #fakefundrow #aapsweep","
Covertly Aggressive
",Political Aggression
1278705059,aphridi ritayarda jhalyavara bharatiya lok‍sa konacya navane zivya detila  kadacita aphridi ritayarda na honyace karana heca asela  #indvspak,"
Non Aggressive
",-
1278705060,aja aisa laga raha hai jaise . . . . . . . . 10 फ़ravari ka badala le lia ho !! #indvspak #bjpvsaap,"
Non Aggressive
",-
1278705061,manisa sisaudiya homge dilli ke dipti siema! http://t.co/gpnsvs0roo #aapsweep #aap #bjp #modi http://t.co/azxtkctfsi,"
Non Aggressive
",-
1278705062,rt @vivek_ganesan: kaisi dilli unako cahie? phaisala ho gaya @thekiranbedi ji ! sirpha aurata ke lie nahim adami ko bhi suraksa cahie! #delhidecides @a…,"
Covertly Aggressive
",Political Aggression
1278705063,"murgi, machali etc ne kya gunaha kiya he bhai ? y only #beefban ","
Covertly Aggressive
",General Non-threatening Aggression
1278705065,rt @panksgr878: ab diviliyarsa ne bharata ke viruddha pichali 5 pariyom mem 1 zataka aura 3 ardhazataka banaye haim kala kya ummida hai? mitrom #indvssa #wewo…,"
Non Aggressive
",-
1278705066,rt @subhsaurabh: @arvindkejriwal @drkumarvishwas @therahulmehra : isa camatkara ko sara jhukakara salama - zukriya dilli #aapsweep,"
Non Aggressive
",-
1278705068,"jo pakistana ki alocana kara rahem unhem yada rakhana cahie ""alocana to zariphom ki kari jati hai"" ""pakistana ki to ma~ bahana eka kari jati hai"" #indvspak","
Overtly Aggressive
",Geographical Aggression
1278705070,are bc kya kara rahe ho viketa lo ina gamdu logo~ ke #indvssa,"
Overtly Aggressive
",Curse / Abuse
1278705071,calo bhaiya nahaya dhoya jaya aba- jivana age badha़ae #wc2015 #indvspak,"
Non Aggressive
",-
1278705072,"rt @banarasi_mata: dilli valo kerivala ji pablika taॉileta me tarabaina laga kara bijali utpadana karava lege , bijali ke bila adhe kya pure mapha karava de…","
Overtly Aggressive
",Political Aggression
1278705073,rt @aasshiqq: kaash ye match ki tarah meri zindagi bhi hoti. jaldi khatm ho jaati. #indvsuae,"
Non Aggressive
",-
1278705074,#indvspak maica ke daurana khilaड़iyom ne khela bhavana ka behatarina pradarzana kara bataya ki hama pratidvamdi hai lekina duzmana nahi http://t.co/cbvwgotsep,"
Non Aggressive
",-
1278705075,"#delhidecides ab hogaye dilli aap ki, agli baari up , bihar ki ab hogaye dilli aap ki, agli baari up , bihar ki","
Covertly Aggressive
",Political Aggression
1278705076,rt @kamranbukhari: pakistani team kay haramkhoron... aisi hoti hai fielding #indvssa,"
Overtly Aggressive
",Geographical Aggression
1278705077,rt @kamranbukhari: pakistani team kay haramkhoron... aisi hoti hai fielding #indvssa,"
Overtly Aggressive
",Geographical Aggression
1278705078,@iawoolford vaha...apake hone se tima mem naya joza a gaya hai #jayahinda #indvssa,"
Non Aggressive
",-
1278705080,yu~ to rahane zaripha ba~da hai...para lagata hai usane munapha patela ka gamjha phu~ka mara hai !! #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278705081,rt @aapfans1: ama adami parti ki aitihasika jita mem parti ke chaha ummidavarom ne 50 hajara se adhika matom se jita hasila ki hai| #aapsweep,"
Non Aggressive
",-
1278705082,@aniofcal agar aap isko ek aam adhmi key roop mian socho tab aapko malum hoga key jo baate boli gayi hai wo kitne sachi hai #railbudget2015,"
Non Aggressive
",-
1278705083,aaj sabko batting milega - misbah #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705084,@jayukacha aiso ko laate hi kyu hai... hey bhagwaaaaan #indvspak #cwc15,"
Non Aggressive
",-
1278705085,beedi size la irundhukuttu ennama adikrar @ajinkyarahane88 ! #indvssa #ballahkanom! :p,"
Non Aggressive
",-
1278705086,amit shah ji aap jumla kartey baitho @aamaadmiparty development laegi india me #5saalkejriwal #aapsweep,"
Overtly Aggressive
",Political Aggression
1278705087,rela bajata mem dikhe ama bajata ke samketa #railbudget2015 padha़em puri khabara...http://t.co/fbsai1oo0j,"
Non Aggressive
",-
1278705088,isa nai sarakara ko bhukhamaro se nibatana hai| kejari ki caddi bi utara lemge ye| #kiskidilli #aapsweep #aap,"
Covertly Aggressive
",Political Aggression
1278705090,"rt @mkkhedawat: pakistani log jinko bhi support karte hain, unki halat bhi #pakistan jaisi hi ho jati hain. #indvssa #cwc15","
Overtly Aggressive
",Geographical Aggression
1278705091,rt dhiraj_insan: rt jsingh341: rt preet33075: rt jsingh341: rt jsingh341: rt komal_thanai: rt sheenaminsan: #blockbustermsg #msgincinemas d…,"
Non Aggressive
",-
1278705092,"rt @ethindi: hamem 1 lakha kilomitara sada़kem aura banani homgih aruna jetali, vitta mamtri #superbudget #unionbudget2015","
Non Aggressive
",-
1278705093,##dillikiski #delhidecides #delhivotes #ndtvresults #aapkidilli #aapsweep apa 67 para jiti aura kamgresa ke 67 ummidavaro ne jamanata jabta karavai,"
Covertly Aggressive
",Political Aggression
1278705097,"#aapsweep new slogan - aap ki jhadu se udi aisi dhool, na raha panja✋ na khila phool ","
Covertly Aggressive
",Political Aggression
1278705098,zetakaऱyamsathi relve kargo vibhaga suru karanara #railbudget2015 #sureshprabhu #government,"
Non Aggressive
",-
1278705100,breaking news: pakistani fans stadium se nikala kara hindustaniyom ko tikata becate hue naज़ra aye | #indvspak,"
Non Aggressive
",-
1278705101,sir jadeja  phli ball pe wicket #indvsuae,"
Non Aggressive
",-
1278705102,#welovemsg #msgincinemas #msgthefilm duniyam mem rizta vahi saphala hota hai jaha~ saba kucha dotarapha ho... http://t.co/nxxpdjtic0,"
Non Aggressive
",-
1278705103,@aajtak #delhielectionresults kahi ye #bjp ki sazis to nhi #aapsweep http://t.co/j4qlohaqpq,"
Non Aggressive
",-
1278705104,"ajeeb pagal hain ""pk"" movie mein pakistan ki bisti karey hain india walon nay painchod india _|||_","
Overtly Aggressive
",Geographical Aggression
1278705105,bijepi neta aura karyakartta apani nitiyom aura kama ka pracara nahim karate dusaro ko gali dena pracara kahate haim #aapsweep,"
Overtly Aggressive
",Political Aggression
1278705106,"❗maharastra mem #beefban ki zuruata kya hui❗ kitane khuna se ramge muha ujagara ho gae❗ koi kaha raha""aba maim kya khau~ga""aise logom ke philma ka bahiskara","
Covertly Aggressive
",General Non-threatening Aggression
1278705108,kal chod denge bhencho... #indvspak #cwc15,"
Overtly Aggressive
",Sexual Aggression
1278705110,"rohit, kabhi toh sharmaya kar apni performance dekh ke. #indvssa","
Overtly Aggressive
",General Non-threatening Aggression
1278705112,aravinda kejarivala ne dikha diya hai ki bara-bara jalila kiya hua imjiniyara kitana khataranaka ho jata hai|| #aapsweep #delhidecides #aapstorm,"
Covertly Aggressive
",General Non-threatening Aggression
1278705113,"#aapsweep yar mere yaha bhi kamwali bai nahi aayi, kar doge kya?","
Non Aggressive
",-
1278705114,har jeet cheen le har se indiawale #aktivfanofthematch #indvssa,"
Non Aggressive
",-
1278705115,rahula gamdhi socate hue ki jupiter ki escape velocity kaha~ piche chuta gayi| #aapsweep #kiskidilli #delhidecides http://t.co/ketp0f3tgv,"
Covertly Aggressive
",Political Aggression
1278705116,koi jakara @shaziailmi aura @vinodkumarbinni ki to baita le ae.! bahuta baड़e neta haim ye loga.!! #delhidecides #aapsweep #kiskidilli #aapkidilli,"
Non Aggressive
",-
1278705117,rt @anitasinghyadav: aja bharata phira jitega .bicare pakistaniyom ke bace khuce tivi bhi .......#indiavssouthafrica #indvssa #jayahinda #jayazrirama .,"
Non Aggressive
",-
1278705118,jisa rajya ki praja lobhi aura lalaci ho vaham thaga hi zasana kiya karate haim...canakya #aapkacm #aapsweep #delhidecides,"
Non Aggressive
",-
1278705120,#delhidecides kirana bedi ke pasa karane ke lie to khaira bahuta kucha hai...kya apa tinom...a aba lauta calem...? http://t.co/ty6lblwmqu,"
Covertly Aggressive
",Political Aggression
1278705121,eka tarapha vizesajja loga haim jo tivi mem baithe baithe subaha se pata nahim kauna si bhasa mem bajata samajha rahe haim..#unionbudget2015,"
Covertly Aggressive
",General Non-threatening Aggression
1278705123,rt @rajabetasharad: maukaaa..maukaa maukaa.. ghantaaa !! subah se kaam dhaam chhodkar totka kar raha hu.. haarna toh padega boss..!! #indv…,"
Overtly Aggressive
",Curse / Abuse
1278705124,"#railbudget2015 rela mamtri mem una "" maggo "" ko aज़ada karane ke kucha ghosanajo kai varso se traina ke zaucalaya mem "" lohe ki cena ""se bamdhe hai|","
Covertly Aggressive
",Political Aggression
1278705126,lo ji.. gai bhemsa pani me.. bc #indvssa,"
Non Aggressive
",-
1278705127,namo is kadarkhan &amp; delhi ki janta is johnny lever #aapsweep #delhipolls https://t.co/harp28uwif,"
Covertly Aggressive
",Political Aggression
1278705128,gabbara simha kahake gaya jo dara gaya vo mara gaya @sdhawan25 #indvssa #cwc15,"
Covertly Aggressive
",General Non-threatening Aggression
1278705129,cala... #beefban cya nimittane ka hoina pana #maharashtra tremda jhala... ata lavakaraca #gudhipadava pana yeila... #marathi,"
Non Aggressive
",-
1278705131,@antharvani pk movie ki poyi padkunnav inkendi vayya encourage chesedi :p @chvrkraju,"
Non Aggressive
",-
1278705132,"@srbachchan, kamal haasan, rajnikanth at #shamitabh music launch. http://t.co/1itmlrkkue","
Non Aggressive
",-
1278705134,ennama neenga pakistan ah ipadi vechu seiringalema... #indvspak.. #wewon'tgiveitback... http://t.co/cf7e9zvkx4,"
Non Aggressive
",-
1278705135,"#rahulonleave rahula kahate haim ki kamgresa eka parti nahim balki eka soca hai| vidya balana kahati hai ki jaham soca,vaha~ zaucalaya hai| kanphyuज़na hai bhai","
Covertly Aggressive
",Political Aggression
1278705136,"#rahulonleave rahula kahate haim ki kamgresa eka parti nahim balki eka soca hai| vidya balana kahati hai ki jaham soca,vaha~ zaucalaya hai| kanphyuज़na hai bhai","
Non Aggressive
",-
1278705137,rt @abpmajhatv: video: kolhapurata 'nada khula' jallosa http://t.co/p8iirjbbk6 #jayahimda #indvspak http://t.co/l3pvlgizfk,"
Non Aggressive
",-
1278705138,rt @pradnyamayekar: naye rela bajeta mem rela #jumlaman ke jumalomse calegi #railbudget2015,"
Covertly Aggressive
",General Non-threatening Aggression
